;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
570;2020-12-20;L;0;0;Away;0;58.0;23.6;4-3-3;1.0;21.9;85.7;9.0;9.0;-480.05;4;12;3-5-2;Spezia;reste;7.0;0;2;0;1.0;8.0;1.0;10.0;-1.3701923076923077;0.9715003666137119
571;2020-12-23;L;0;0;Home;1;67.0;23.6;4-3-3;4.0;17.4;81.9;7.0;19.0;-42.78;3;12;3-5-2;Spezia;reste;8.0;0;3;0;4.0;6.0;1.0;20.0;-2.0240384615384617;1.8430832213124773
572;2021-01-03;L;0;0;Home;1;53.0;23.6;4-3-3;1.0;12.5;71.3;11.0;22.0;-84.47999999999998;11;1;3-4-3;Spezia;reste;7.0;0;6;1;0.0;12.0;0.0;10.0;-1.2788461538461537;1.2786371135280459
573;2021-01-06;W;1;1;Away;0;38.0;23.6;4-3-3;2.0;25.7;78.6;8.0;16.0;-398.73;3;1;4-5-1;Spezia;reste;8.0;1;5;1;2.0;29.0;0.0;9.0;-2.1971153846153846;0.6925928754735429
574;2021-01-11;W;1;1;Home;1;56.0;23.6;4-3-3;3.0;13.5;77.4;12.0;16.0;-50.05000000000001;5;1;4-5-1;Spezia;reste;8.0;1;4;0;3.0;6.0;0.0;16.0;-0.45192307692307687;1.7381705975803496
575;2021-01-16;D;0;1;Away;0;34.0;23.6;4-3-3;3.0;16.9;74.4;7.0;14.0;-144.9;5;1;3-5-2;Spezia;reste;6.0;0;4;1;3.0;10.0;0.0;12.0;-0.9615384615384616;1.1537730661126728
577;2021-01-23;L;0;0;Away;0;52.0;23.6;4-3-3;3.0;11.5;80.7;11.0;13.0;-302.75;4;1;3-4-3;Spezia;reste;6.0;0;1;0;3.0;14.0;0.0;12.0;-0.8413461538461539;1.5047323719907126
579;2021-01-31;L;0;0;Home;1;63.0;23.6;4-3-3;5.0;13.8;84.4;10.0;18.0;-63.80000000000001;3;1;3-6-1;Spezia;reste;10.0;0;6;1;5.0;5.0;1.0;19.0;-1.6682692307692308;2.1191968104607115
580;2021-02-06;W;1;1;Away;0;46.0;23.6;4-3-3;5.0;13.5;72.7;9.0;15.0;-172.5;6;2;4-5-1;Spezia;reste;13.0;0;3;0;2.0;8.0;0.0;20.0;-0.7451923076923077;2.2443831724306493
581;2021-02-13;W;1;1;Home;1;46.0;23.6;4-3-3;4.0;16.7;75.4;15.0;18.0;-468.4500000000001;7;2;4-5-1;Spezia;reste;17.0;0;3;0;1.0;7.0;2.0;14.0;-2.4086538461538463;1.9884531956495177
582;2021-02-19;L;0;0;Away;0;62.0;23.6;4-3-3;2.0;17.1;82.1;11.0;11.0;-247.3;6;2;3-5-2;Spezia;reste;10.0;0;0;0;4.0;10.0;0.0;20.0;-0.46634615384615385;1.9857845533422949
584;2021-03-02;L;0;0;Away;0;53.0;23.6;4-3-3;0.0;23.2;83.3;18.0;13.0;-564.0;3;3;4-4-2;Spezia;reste;11.0;0;0;0;2.0;18.0;1.0;14.0;-1.5528846153846154;1.3764313210314065
586;2021-03-12;L;0;0;Away;0;53.0;23.6;4-3-3;3.0;14.5;78.8;13.0;6.0;-320.25;6;3;3-5-2;Spezia;reste;7.0;0;0;0;2.0;14.0;0.0;17.0;-0.25;1.7039166564829524
587;2021-03-20;W;1;1;Home;1;54.0;23.6;4-3-3;5.0;18.8;76.0;10.0;12.0;-56.03;8;3;3-5-2;Spezia;reste;12.0;0;1;0;2.0;13.0;1.0;16.0;-1.7932692307692308;1.7009959672491752
588;2021-04-03;L;0;0;Away;0;49.0;23.6;4-3-3;3.0;12.9;76.7;11.0;20.0;-185.98;14;4;3-5-2;Spezia;reste;7.0;0;3;0;5.0;10.0;1.0;18.0;-2.0288461538461537;1.8228996089453746
590;2021-04-18;L;0;0;Away;0;59.0;23.6;4-3-3;4.0;17.6;81.5;9.0;12.0;-107.7;8;4;4-5-1;Spezia;reste;8.0;0;1;0;1.0;10.0;1.0;15.0;-1.6826923076923077;1.5155887205181475
591;2021-04-21;D;0;1;Home;1;36.0;23.6;4-3-3;1.0;21.8;78.5;4.0;8.0;-480.05;3;4;3-5-2;Spezia;reste;1.0;0;2;0;0.0;20.0;0.0;7.0;-1.4423076923076923;0.3278748625198582
592;2021-04-24;L;0;0;Away;0;65.0;23.6;4-3-3;1.0;21.1;84.0;6.0;14.0;-42.78;3;4;3-5-2;Spezia;reste;9.0;0;2;0;2.0;10.0;0.0;18.0;-1.0384615384615383;1.6169574117071979
593;2021-05-01;D;0;1;Away;0;54.0;23.6;4-3-3;2.0;20.3;76.9;12.0;16.0;-84.47999999999998;7;5;3-4-3;Spezia;reste;13.0;0;2;0;6.0;8.0;1.0;27.0;-1.5769230769230769;2.38524379811805
594;2021-05-08;L;0;0;Home;1;48.0;23.6;4-3-3;2.0;14.9;82.6;6.0;15.0;-398.73;7;5;4-4-2;Spezia;reste;8.0;0;3;0;2.0;12.0;1.0;17.0;-2.2259615384615383;1.7915174752535745
595;2021-05-12;D;0;1;Away;0;39.0;23.6;4-4-2;6.0;11.8;77.7;13.0;17.0;-50.05000000000001;4;5;4-4-2;Spezia;reste;15.0;0;2;0;2.0;16.0;1.0;9.0;-2.0625;1.828498105829158
596;2021-05-15;W;1;1;Home;1;41.0;23.6;4-3-3;7.0;13.7;67.2;9.0;25.0;-144.9;3;5;3-5-2;Spezia;reste;13.0;1;3;0;5.0;5.0;2.0;17.0;-3.1826923076923075;1.9808108273249418
597;2021-05-23;D;0;1;Home;1;43.0;23.6;4-3-3;8.0;15.3;80.0;11.0;13.0;-302.75;8;5;4-5-1;Spezia;reste;17.0;0;0;0;1.0;14.0;0.0;14.0;-0.8413461538461539;2.11497158743737
598;2020-09-19;L;0;0;Away;0;50.0;24.8;4-4-2;3.0;18.7;81.9;11.0;20.0;-102.4;10;9;3-5-2;Torino;automne;6.0;0;1;0;3.0;15.0;0.0;17.0;-1.3413461538461537;1.4642566907002323
599;2020-09-26;L;0;0;Home;1;45.0;24.8;4-4-2;4.0;15.7;77.8;8.0;11.0;-175.35;7;9;3-5-2;Torino;automne;7.0;0;1;0;2.0;18.0;1.0;12.0;-2.1971153846153846;1.3182161187828427
600;2020-10-18;L;0;0;Home;1;58.0;24.8;4-<NA>-<NA>;5.0;18.0;87.5;11.0;14.0;88.87;22;10;4-4-2;Torino;automne;12.0;1;2;1;3.0;12.0;0.0;16.0;-0.7788461538461539;1.879536844677991
601;2020-10-23;D;0;1;Away;0;28.0;24.8;4-4-2;10.0;14.3;76.5;15.0;12.0;-27.599999999999994;5;10;4-5-1;Torino;automne;17.0;0;2;0;2.0;17.0;2.0;10.0;-2.6586538461538463;1.8740758279359648
603;2020-11-01;L;0;0;Home;1;45.0;24.8;4-4-2;3.0;20.3;83.9;8.0;11.0;-41.08000000000001;4;11;3-5-2;Torino;automne;10.0;1;2;0;4.0;11.0;2.0;11.0;-2.7596153846153846;1.2815761334473912
604;2020-11-04;W;1;1;Away;0;49.0;24.8;4-4-2;1.0;21.6;79.5;21.0;18.0;102.12;3;11;4-5-1;Torino;automne;7.0;0;4;0;2.0;17.0;0.0;10.0;-0.5721153846153846;0.9125549920567031
606;2020-11-22;L;0;0;Away;0;44.0;24.8;3-5-2;5.0;18.6;83.3;19.0;14.0;-335.15;14;11;3-5-2;Torino;automne;12.0;1;2;0;3.0;12.0;1.0;20.0;-1.1634615384615385;2.048625198582427
608;2020-11-30;D;0;1;Home;1;53.0;24.8;3-5-2;7.0;13.1;82.4;14.0;17.0;94.85;4;11;4-5-1;Torino;automne;14.0;0;1;0;2.0;11.0;0.0;17.0;-0.6730769230769231;2.255959000366614
609;2020-12-05;L;0;0;Away;0;35.0;24.8;3-5-2;2.0;15.9;74.9;17.0;10.0;-419.1;5;12;4-4-2;Torino;reste;7.0;0;3;0;4.0;17.0;1.0;17.0;-1.3798076923076923;1.5857814982280338
610;2020-12-12;L;0;0;Home;1;60.0;24.8;3-5-2;3.0;21.2;82.4;10.0;9.0;81.1;7;12;3-5-2;Torino;reste;8.0;0;3;0;3.0;10.0;0.0;17.0;-0.4182692307692307;1.4676936942441652
611;2020-12-17;L;0;0;Away;0;37.0;24.8;3-6-1;6.0;19.4;84.6;12.0;16.0;-157.85;5;12;3-4-3;Torino;reste;17.0;0;3;1;4.0;12.0;1.0;22.0;-1.8269230769230769;2.460877734327264
612;2020-12-20;D;0;1;Home;1;51.0;24.8;4-4-2;4.0;18.1;78.5;13.0;14.0;37.200000000000024;3;12;4-5-1;Torino;reste;14.0;0;1;0;3.0;16.0;0.0;17.0;-0.875;1.9541503727239395
613;2020-12-23;D;0;1;Away;0;35.0;24.8;3-5-2;3.0;18.4;78.8;10.0;16.0;-253.83;3;12;4-5-1;Torino;reste;10.0;0;3;0;3.0;15.0;2.0;20.0;-3.168269230769231;1.8799370646462181
615;2021-01-06;D;0;1;Home;1;46.0;24.8;3-5-2;2.0;16.6;68.6;15.0;12.0;60.420000000000016;3;1;3-4-3;Torino;reste;17.0;0;1;0;3.0;8.0;0.0;18.0;-0.09615384615384626;2.1621181107173406
616;2021-01-09;L;0;0;Away;0;54.0;24.8;3-6-1;1.0;18.7;82.3;3.0;15.0;-323.55000000000007;3;1;4-5-1;Torino;reste;9.0;0;2;0;6.0;7.0;2.0;22.0;-3.144230769230769;1.9690471098619091
618;2021-01-16;D;0;1;Home;1;66.0;24.8;3-5-2;1.0;12.1;85.8;11.0;12.0;144.9;4;1;4-3-3;Torino;reste;10.0;0;3;0;5.0;6.0;0.0;14.0;-0.27884615384615385;1.9101979714041306
620;2021-01-29;D;0;1;Home;1;52.0;24.8;3-5-2;3.0;13.3;76.7;9.0;20.0;-102.4;7;1;3-5-2;Torino;reste;15.0;0;2;0;4.0;8.0;0.0;15.0;-1.0576923076923077;2.1149914456800687
621;2021-02-06;D;0;1;Away;0;43.0;24.8;3-5-2;4.0;16.7;71.3;17.0;17.0;-175.35;8;2;3-4-3;Torino;reste;20.0;0;2;0;3.0;11.0;0.0;23.0;-0.4423076923076923;2.689351399242332
622;2021-02-13;D;0;1;Home;1;46.0;24.8;3-5-2;2.0;22.9;71.0;13.0;13.0;102.12;7;2;3-5-2;Torino;reste;10.0;0;2;0;4.0;6.0;1.0;15.0;-1.1875;1.2444320542588292
623;2021-02-19;W;1;1;Away;0;53.0;24.8;3-5-2;5.0;18.4;68.8;23.0;19.0;88.87;6;2;3-5-2;Torino;reste;10.0;0;2;0;3.0;18.0;1.0;20.0;-1.5432692307692308;1.760176585604302
625;2021-03-14;L;0;0;Home;1;32.0;24.8;3-5-2;3.0;12.4;72.3;5.0;11.0;-335.15;7;3;3-5-2;Torino;reste;7.0;0;0;0;1.0;12.0;1.0;12.0;-2.0528846153846154;1.420715202248564
626;2021-03-17;W;1;1;Home;1;51.0;24.8;3-5-2;11.0;16.5;77.2;10.0;10.0;-27.599999999999994;3;3;4-5-1;Torino;reste;22.0;0;1;0;2.0;14.0;0.0;16.0;-0.7307692307692307;2.4577141635097153
627;2021-03-21;L;0;0;Away;0;64.0;24.8;3-5-2;0.0;18.7;77.1;8.0;18.0;94.85;4;3;4-4-2;Torino;reste;11.0;0;1;0;0.0;6.0;0.0;15.0;-0.8846153846153846;1.5942716607601124
628;2021-04-03;D;0;1;Home;1;30.0;24.8;3-5-2;6.0;19.6;73.0;9.0;16.0;-419.1;13;4;4-4-2;Torino;reste;10.0;0;3;0;2.0;22.0;0.0;15.0;-1.6826923076923077;1.436751497005988
629;2021-04-10;W;1;1;Away;0;36.0;24.8;3-5-2;0.0;21.1;75.7;10.0;20.0;81.1;7;4;3-6-1;Torino;reste;9.0;1;3;0;0.0;16.0;1.0;20.0;-2.480769230769231;1.6425562141024077
630;2021-04-18;W;1;1;Home;1;49.0;24.8;3-5-2;11.0;15.5;75.5;10.0;13.0;-157.85;8;4;3-4-3;Torino;reste;27.0;0;2;0;3.0;9.0;0.0;13.0;-0.6057692307692307;2.613375290235855
631;2021-04-21;D;0;1;Away;0;52.0;24.8;3-5-2;3.0;18.4;71.2;12.0;15.0;37.200000000000024;3;4;4-5-1;Torino;reste;18.0;0;2;0;4.0;8.0;0.0;26.0;-0.5144230769230769;2.6639191005743617
632;2021-04-26;L;0;0;Home;1;48.0;24.8;3-5-2;5.0;16.1;81.9;8.0;15.0;-253.83;5;4;4-5-1;Torino;reste;15.0;0;3;1;1.0;25.0;0.0;15.0;-1.8846153846153846;2.0344097519247217
634;2021-05-09;D;0;1;Away;0;43.0;24.8;3-5-2;3.0;16.0;65.3;11.0;22.0;60.420000000000016;6;5;3-4-3;Torino;reste;7.0;0;3;0;3.0;24.0;0.0;16.0;-2.0288461538461537;1.4032093975314677
635;2021-05-12;L;0;0;Home;1;42.0;24.8;3-5-2;1.0;22.8;83.1;16.0;15.0;-323.55000000000007;3;5;4-5-1;Torino;reste;14.0;0;2;0;1.0;11.0;1.0;16.0;-1.3942307692307692;1.7069442747158743
636;2021-05-15;L;0;0;Away;0;59.0;24.8;3-5-2;2.0;25.0;74.1;10.0;17.0;144.9;3;5;4-3-3;Torino;reste;5.0;1;5;0;3.0;13.0;2.0;25.0;-3.105769230769231;1.4869149456189663
637;2021-05-18;D;0;1;Away;0;29.0;24.8;3-5-2;3.0;24.0;57.1;8.0;13.0;-41.08000000000001;3;5;3-5-2;Torino;reste;6.0;0;0;0;4.0;21.0;0.0;10.0;-1.5096153846153846;0.45934253941097425
639;2020-09-27;L;0;0;Away;0;53.0;25.0;3-5-2;5.0;15.9;70.6;10.0;12.0;-20.679999999999982;10;9;3-4-3;Udinese;automne;22.0;0;0;0;1.0;14.0;0.0;13.0;-0.8557692307692307;2.2217844922400096
640;2020-09-30;L;0;0;Home;1;49.0;25.0;3-5-2;3.0;16.4;80.4;3.0;13.0;63.80000000000001;3;9;4-3-3;Udinese;automne;13.0;0;0;0;6.0;4.0;0.0;17.0;-0.8317307692307692;2.0011395576194553
641;2020-10-03;L;0;0;Home;1;45.0;25.0;3-5-2;4.0;19.7;76.5;17.0;15.0;-238.95;3;10;3-4-3;Udinese;automne;10.0;0;1;0;0.0;13.0;2.0;9.0;-2.4423076923076925;1.0985656238543322
643;2020-10-25;L;0;0;Away;0;55.0;25.0;3-5-2;6.0;16.8;79.3;10.0;14.0;-183.5;7;10;3-5-2;Udinese;automne;16.0;0;3;0;1.0;5.0;0.0;16.0;-0.4182692307692307;2.092557741659538
645;2020-11-01;L;0;0;Home;1;40.0;25.0;4-3-3;1.0;26.1;77.1;13.0;14.0;-404.65;4;11;4-5-1;Udinese;automne;8.0;1;2;0;2.0;12.0;3.0;12.0;-3.625;0.841720640351949
646;2020-11-06;D;0;1;Away;0;38.0;25.0;5-3-2;0.0;14.1;76.4;12.0;13.0;-108.7;5;11;3-4-3;Udinese;automne;2.0;0;2;0;2.0;4.0;0.0;15.0;-0.13942307692307687;1.258082304778199
647;2020-11-22;W;1;1;Home;1;46.0;25.0;3-5-2;2.0;22.6;81.4;15.0;16.0;21.02000000000001;16;11;3-5-2;Udinese;automne;8.0;0;2;0;4.0;11.0;0.0;15.0;-0.5336538461538463;1.2592890749114016
649;2020-11-29;W;1;1;Away;0;44.0;25.0;3-5-2;4.0;16.7;81.8;16.0;10.0;-122.18;4;11;3-5-2;Udinese;automne;9.0;0;4;0;3.0;10.0;2.0;16.0;-2.019230769230769;1.6900999022363439
650;2020-12-12;W;1;1;Away;0;40.0;25.0;3-5-2;3.0;16.0;80.1;21.0;17.0;-81.1;13;12;3-5-2;Udinese;reste;10.0;0;3;0;3.0;8.0;2.0;9.0;-1.9471153846153846;1.3304549065135034
652;2020-12-20;D;0;1;Away;0;47.0;25.0;3-5-2;4.0;15.3;81.0;11.0;13.0;7.770000000000009;5;12;4-5-1;Udinese;reste;13.0;0;1;0;2.0;12.0;1.0;13.0;-1.7163461538461537;1.8144476353415615
654;2021-01-03;L;0;0;Away;0;37.0;25.0;3-5-2;3.0;15.4;81.3;4.0;8.0;-500.2;11;1;4-4-2;Udinese;reste;10.0;0;0;0;3.0;20.0;1.0;14.0;-2.4423076923076925;1.6879384088964926
655;2021-01-06;D;0;1;Away;0;63.0;25.0;3-5-2;6.0;17.0;83.0;7.0;13.0;-43.899999999999984;3;1;4-5-1;Udinese;reste;17.0;0;3;0;5.0;10.0;1.0;16.0;-1.8990384615384617;2.189165037272394
656;2021-01-10;L;0;0;Home;1;37.0;25.0;3-6-1;8.0;16.7;79.9;14.0;19.0;-334.93;4;1;4-5-1;Udinese;reste;17.0;0;3;0;1.0;16.0;2.0;6.0;-3.1105769230769234;1.5423454112183799
657;2021-01-16;L;0;0;Away;0;46.0;25.0;3-6-1;4.0;16.5;76.9;13.0;11.0;13.75;6;1;4-5-1;Udinese;reste;15.0;0;1;0;1.0;14.0;1.0;8.0;-1.5625;1.516621349138458
658;2021-01-20;D;0;1;Home;1;34.0;25.0;3-6-1;1.0;22.3;70.7;17.0;20.0;-256.45;4;1;3-4-3;Udinese;reste;6.0;0;3;0;2.0;17.0;1.0;26.0;-2.0048076923076925;1.708951484785531
659;2021-01-23;D;0;1;Home;1;39.0;25.0;3-5-2;1.0;20.5;81.8;20.0;11.0;-416.25;3;1;3-5-2;Udinese;reste;6.0;0;3;0;2.0;10.0;1.0;16.0;-0.7740384615384615;1.3087223512159356
660;2021-01-31;W;1;1;Away;0;37.0;25.0;3-6-1;2.0;17.5;76.1;12.0;19.0;63.80000000000001;8;1;4-3-3;Udinese;reste;5.0;1;4;1;7.0;10.0;0.0;18.0;-0.8894230769230769;1.4560201026518391
661;2021-02-07;W;1;1;Home;1;46.0;25.0;3-4-3;7.0;13.3;72.9;13.0;9.0;-20.679999999999982;7;2;3-4-3;Udinese;reste;16.0;0;2;0;4.0;6.0;0.0;15.0;0.0625;2.1319824636441407
662;2021-02-14;L;0;0;Away;0;49.0;25.0;3-5-2;1.0;21.6;83.5;17.0;7.0;-238.95;7;2;3-4-3;Udinese;reste;6.0;0;0;0;2.0;12.0;1.0;17.0;-0.8798076923076923;1.3354591836734695
664;2021-02-28;W;1;1;Home;1;46.0;25.0;3-5-2;3.0;18.9;76.5;7.0;12.0;-183.5;7;2;3-5-2;Udinese;reste;9.0;0;1;0;2.0;8.0;0.0;20.0;-0.7115384615384616;1.7643819503849445
665;2021-03-03;D;0;1;Away;0;39.0;25.0;3-6-1;1.0;15.7;73.8;7.0;13.0;-404.65;3;3;4-5-1;Udinese;reste;5.0;0;1;0;4.0;11.0;1.0;23.0;-1.9615384615384617;1.8328119271660759
666;2021-03-06;W;1;1;Home;1;30.0;25.0;3-5-2;7.0;15.7;73.8;20.0;10.0;-108.7;3;3;3-<NA>-<NA>;Udinese;reste;13.0;0;1;0;0.0;10.0;1.0;11.0;-0.7115384615384615;1.5828119271660759
667;2021-03-13;D;0;1;Away;0;43.0;25.0;3-5-2;2.0;16.9;80.3;9.0;6.0;21.02000000000001;7;3;3-5-2;Udinese;reste;8.0;1;1;0;3.0;11.0;0.0;14.0;-0.3701923076923077;1.4744317487474032
668;2021-03-21;L;0;0;Home;1;51.0;25.0;3-5-2;3.0;16.6;81.3;7.0;9.0;-122.18;8;3;3-5-2;Udinese;reste;12.0;0;1;0;3.0;16.0;0.0;13.0;-1.0240384615384617;1.689213919100574
669;2021-04-03;L;0;0;Away;0;42.0;25.0;3-5-2;3.0;20.7;77.0;11.0;9.0;-256.45;13;4;3-5-2;Udinese;reste;9.0;0;2;0;0.0;23.0;2.0;15.0;-3.1538461538461537;1.3660332396431627
670;2021-04-10;L;0;0;Home;1;64.0;25.0;3-6-1;4.0;20.9;84.2;8.0;20.0;-81.1;7;4;3-5-2;Udinese;reste;16.0;0;0;0;3.0;9.0;2.0;20.0;-3.1971153846153846;2.1920567029206897
672;2021-04-21;L;0;0;Home;1;57.0;25.0;3-5-2;2.0;19.6;82.3;6.0;11.0;7.770000000000009;4;4;3-5-2;Udinese;reste;12.0;0;0;0;2.0;14.0;1.0;15.0;-2.1009615384615383;1.6731287425149701
674;2021-05-02;L;0;0;Home;1;42.0;25.0;3-6-1;2.0;20.1;80.8;3.0;14.0;-500.2;7;5;4-4-2;Udinese;reste;8.0;0;3;0;0.0;13.0;2.0;18.0;-3.456730769230769;1.5671544665770498
675;2021-05-08;D;0;1;Home;1;47.0;25.0;3-6-1;3.0;22.1;80.3;8.0;12.0;-43.899999999999984;6;5;4-5-1;Udinese;reste;9.0;0;1;0;1.0;15.0;1.0;18.0;-2.0721153846153846;1.5216256262984234
676;2021-05-11;L;0;0;Away;0;48.0;25.0;3-6-1;1.0;17.8;84.8;17.0;14.0;-334.93;3;5;4-5-1;Udinese;reste;4.0;0;1;0;0.0;22.0;0.0;7.0;-0.9423076923076923;0.7949055969693266
677;2021-05-16;L;0;0;Home;1;53.0;25.0;3-6-1;2.0;23.0;84.0;11.0;12.0;13.75;5;5;5-3-2;Udinese;reste;9.0;0;3;0;1.0;15.0;1.0;13.0;-1.8413461538461537;1.2075186361969938
678;2021-05-23;L;0;0;Away;0;52.0;25.0;3-6-1;1.0;21.4;87.8;11.0;16.0;-416.25;7;5;3-5-2;Udinese;reste;7.0;1;0;0;1.0;14.0;3.0;13.0;-4.028846153846154;1.2096602712941464
679;2020-09-20;D;0;1;Away;0;33.0;25.0;4-5-1;4.0;15.9;80.5;11.0;18.0;-116.47;10;9;4-5-1;Cagliari;automne;8.0;0;3;0;1.0;33.0;3.0;9.0;-5.341346153846154;1.2153473664915069
680;2020-09-26;L;0;0;Home;1;45.0;25.0;4-3-3;2.0;18.0;80.7;11.0;8.0;-129.95000000000002;6;9;3-5-2;Cagliari;automne;9.0;0;1;0;1.0;16.0;0.0;13.0;-0.6538461538461539;1.423099718929488
681;2020-10-04;L;0;0;Away;0;41.0;25.0;4-4-2;3.0;16.5;77.9;16.0;9.0;-264.22;8;10;3-5-2;Cagliari;automne;12.0;0;0;0;0.0;21.0;1.0;11.0;-1.6442307692307692;1.5285973970426494
682;2020-10-18;W;1;1;Away;0;42.0;25.0;4-4-2;5.0;15.0;79.6;4.0;16.0;-88.87;14;10;4-<NA>-<NA>;Cagliari;automne;12.0;0;3;0;3.0;12.0;1.0;14.0;-2.4423076923076925;1.812987290724673
685;2020-10-31;L;0;0;Away;0;48.0;25.0;4-5-1;3.0;15.2;72.0;21.0;18.0;-51.66999999999999;3;10;4-5-1;Cagliari;automne;7.0;0;3;0;3.0;22.0;2.0;11.0;-2.8846153846153846;1.211765245020164
686;2020-11-07;W;1;1;Home;1;56.0;25.0;4-5-1;4.0;19.6;81.5;7.0;12.0;5.979999999999991;7;11;4-4-2;Cagliari;automne;12.0;1;0;0;3.0;5.0;1.0;16.0;-1.5240384615384617;1.726047904191617
687;2020-11-21;L;0;0;Away;0;34.0;25.0;3-4-3;0.0;29.0;82.4;12.0;7.0;-507.97;14;11;4-4-2;Cagliari;automne;4.0;0;2;0;3.0;24.0;0.0;11.0;-1.0144230769230769;0.44473451057069546
689;2020-11-29;D;0;1;Home;1;40.0;25.0;4-5-1;5.0;14.4;69.7;17.0;16.0;56.03;4;11;4-3-3;Cagliari;automne;12.0;0;0;0;4.0;14.0;1.0;18.0;-1.5673076923076923;1.9750366613711354
690;2020-12-06;D;0;1;Away;0;48.0;25.0;4-5-1;3.0;15.2;72.3;12.0;14.0;-28.449999999999992;7;12;3-4-3;Cagliari;reste;13.0;0;0;0;2.0;18.0;0.0;11.0;-1.0769230769230769;1.5903580593914213
691;2020-12-13;L;0;0;Home;1;42.0;25.0;4-5-1;3.0;16.0;78.3;5.0;11.0;-424.02;7;12;3-5-2;Cagliari;reste;11.0;0;2;0;1.0;21.0;0.0;17.0;-1.6153846153846154;1.8713980202859588
693;2020-12-20;D;0;1;Home;1;53.0;25.0;4-5-1;3.0;19.8;80.5;10.0;13.0;-7.770000000000009;4;12;3-5-2;Cagliari;reste;12.0;0;2;0;1.0;13.0;0.0;13.0;-0.8557692307692307;1.5163677746547721
694;2020-12-23;L;0;0;Away;0;38.0;25.0;3-5-2;1.0;16.3;73.8;20.0;20.0;-246.72;3;12;3-4-3;Cagliari;reste;9.0;1;2;0;3.0;15.0;1.0;18.0;-1.6490384615384615;1.7396996822681166
695;2021-01-03;L;0;0;Home;1;38.0;25.0;4-5-1;1.0;13.2;82.7;4.0;11.0;-342.7000000000001;11;1;4-5-1;Cagliari;reste;8.0;0;4;1;1.0;33.0;2.0;6.0;-4.4423076923076925;1.191949773921545
697;2021-01-10;L;0;0;Away;0;48.0;25.0;4-<NA>-<NA>;1.0;23.9;78.0;11.0;14.0;-191.27;4;1;3-4-3;Cagliari;reste;8.0;0;3;0;1.0;14.0;0.0;15.0;-0.9038461538461539;1.1522439814249053
699;2021-01-18;L;0;0;Home;1;45.0;25.0;4-5-1;2.0;17.2;80.4;11.0;9.0;-412.42000000000013;4;1;4-5-1;Cagliari;reste;17.0;0;2;0;4.0;9.0;1.0;13.0;-1.2788461538461537;1.960323231088843
700;2021-01-24;L;0;0;Away;0;59.0;25.0;4-5-1;4.0;19.2;80.7;9.0;6.0;13.25;6;1;3-5-2;Cagliari;reste;14.0;0;2;0;1.0;11.0;0.0;11.0;-0.3701923076923077;1.5493752291335698
701;2021-01-31;D;0;1;Home;1;30.0;25.0;4-5-1;4.0;19.8;74.9;13.0;10.0;-116.47;7;1;4-5-1;Cagliari;reste;10.0;0;2;0;3.0;15.0;0.0;11.0;-0.5625;1.199301906391299
702;2021-02-07;L;0;0;Away;0;37.0;25.0;3-4-3;2.0;15.1;71.1;12.0;14.0;-129.95000000000002;7;2;3-5-2;Cagliari;reste;7.0;0;2;0;2.0;14.0;0.0;16.0;-0.8269230769230769;1.518588842722718
703;2021-02-14;L;0;0;Home;1;36.0;25.0;3-5-2;1.0;22.3;63.5;13.0;17.0;-264.22;7;2;3-4-3;Cagliari;reste;4.0;0;3;0;3.0;10.0;1.0;14.0;-1.6875;0.7477239398753512
704;2021-02-19;L;0;0;Home;1;47.0;25.0;3-5-2;1.0;18.4;62.5;15.0;20.0;-88.87;5;2;3-5-2;Cagliari;reste;18.0;0;3;0;2.0;10.0;2.0;19.0;-2.7211538461538463;2.1222274838078947
706;2021-03-03;W;1;1;Home;1;37.0;25.0;3-5-2;3.0;14.4;60.6;10.0;16.0;-51.66999999999999;3;3;4-5-1;Cagliari;reste;11.0;0;2;0;2.0;13.0;0.0;18.0;-1.0432692307692308;1.8035546254429917
707;2021-03-07;D;0;1;Away;0;49.0;25.0;3-5-2;4.0;16.2;77.9;7.0;14.0;5.979999999999991;4;3;4-4-2;Cagliari;reste;9.0;0;3;0;4.0;12.0;0.0;15.0;-1.0865384615384617;1.606403519491629
708;2021-03-14;L;0;0;Home;1;51.0;25.0;3-5-2;4.0;22.4;82.2;8.0;12.0;-507.97;7;3;4-4-2;Cagliari;reste;12.0;0;0;0;2.0;9.0;1.0;16.0;-1.6971153846153846;1.591573994867408
709;2021-03-20;L;0;0;Away;0;46.0;25.0;3-5-2;6.0;12.9;72.8;7.0;16.0;56.03;6;3;4-3-3;Cagliari;reste;13.0;0;2;0;1.0;12.0;1.0;12.0;-2.2115384615384617;1.7761930221190272
710;2021-04-03;L;0;0;Home;1;48.0;25.0;3-5-2;5.0;16.1;69.4;11.0;16.0;-28.449999999999992;14;4;3-4-3;Cagliari;reste;24.0;0;1;0;3.0;10.0;1.0;18.0;-1.7788461538461537;2.6347091531223272
711;2021-04-11;L;0;0;Away;0;47.0;25.0;3-5-2;1.0;21.8;84.3;9.0;12.0;-424.02;8;4;3-5-2;Cagliari;reste;7.0;0;1;0;1.0;15.0;0.0;10.0;-0.9951923076923077;0.9598359403641699
